,flight_number,carrier,depart_terminal,arrival_terminal,depart_time,arrival_time,aircraft
0,AA2768,American Airlines,PHX,JFK,1578338280000,1578362400000,Airbus A321 (321)
1,AA1388,American Airlines,PHX,JFK,1578353580000,1578377520000,Boeing 737-800 (738)
2,AA2651,American Airlines,PHX,JFK,1578295380000,1578319200000,Boeing 737-800 (738)
3,AA2434,American Airlines,PHX,JFK,1578343260000,1578367740000,Airbus A321 (321)
4,AA2339,American Airlines,PHX,JFK,1578333000000,1578356940000,Boeing 737-800 (738)
5,DL819,Delta Airlines,PHX,JFK,1578316200000,1578339960000,Boeing 737-900 Passenger
6,DL2688,Delta Airlines,PHX,JFK,1578340680000,1578364920000,Boeing 737-900 Passenger
7,DL182,Delta Airlines,SEA,JFK,1578336000000,1578366060000,Boeing 757-200 (winglets) Passenger
8,DL1467,Delta Airlines,SEA,JFK,1578321900000,1578351420000,Boeing 757-200 (752)
9,DL302,Delta Airlines,SEA,JFK,1578376860000,1578406440000,Boeing 757-200 (752)
10,DL2543,Delta Airlines,DEN,JFK,1578315960000,1578337200000,Boeing 737-900 Passenger
11,DL1202,Delta Airlines,DEN,JFK,1578333900000,1578354360000,Boeing 737-900 Passenger
12,DL8796,Delta Airlines,ATL,JFK,1578320700000,1578328500000,Boeing 757-200 (752)
13,DL2350,Delta Airlines,ATL,JFK,1578324000000,1578331800000,Boeing 737-900 Passenger
14,DL843,Delta Airlines,ATL,JFK,1578331920000,1578339780000,Boeing 737-900 Passenger
15,DL8800,Delta Airlines,ATL,JFK,1578337500000,1578345300000,Boeing 777-300ER (76W)
16,DL1888,Delta Airlines,ATL,JFK,1578372180000,1578380160000,Airbus A321 (321)
17,DL1900,Delta Airlines,ATL,JFK,1578343200000,1578351120000,Airbus A319 (319)
18,DL1869,Delta Airlines,ATL,JFK,1578349200000,1578357540000,Airbus A321 (321)
19,DL244,Delta Airlines,ATL,JFK,1578354300000,1578362400000,Boeing 777-200LR
20,DL214,Delta Airlines,ATL,JFK,1578364080000,1578372300000,Airbus A320 (320)
21,AA272,American Airlines,ORD,JFK,1578336240000,1578347820000,Boeing 737-800 (738)
22,DL4957,Delta Airlines,ORD,JFK,1578332100000,1578344160000,Bombardier CRJ-900 (CR9)
23,DL4760,Delta Airlines,ORD,JFK,1578348540000,1578360900000,Bombardier CRJ-900 (CR9)
24,DL5223,Delta Airlines,ORD,JFK,1578361920000,1578374520000,Bombardier CRJ-900 (CR9)
25,DL4851,Delta Airlines,ORD,JFK,1578315600000,1578327180000,Bombardier CRJ-900 (CR9)
26,AA351,American Airlines,BOS,JFK,1578338220000,1578343140000,Airbus A321 (32B)
27,AA1283,American Airlines,BOS,JFK,1578328380000,1578333540000,Airbus A321 (32B)
28,AA197,American Airlines,BOS,JFK,1578315660000,1578320760000,Boeing 737-800 (738)
29,DL928,Delta Airlines,BOS,JFK,1578315600000,1578321120000,Airbus A319 (319)
30,DL3022,Delta Airlines,BOS,JFK,1578355800000,1578361200000,Airbus A319 (319)
31,DL5419,Delta Airlines,BOS,JFK,1578324600000,1578329760000,Bombardier CRJ-900 (CR9)
32,DL6128,Delta Airlines,BOS,JFK,1578333000000,1578338100000,Embraer ERJ-175 (E75)
33,DL5992,Delta Airlines,BOS,JFK,1578339600000,1578345000000,Embraer ERJ-175 (E75)
34,DL5360,Delta Airlines,BOS,JFK,1578344700000,1578349800000,Bombardier CRJ-900 (CR9)
35,DL1360,Delta Airlines,BOS,JFK,1578365940000,1578371340000,Airbus A220-100 Passenger
36,AA164,American Airlines,SFO,JFK,1578324420000,1578355140000,Airbus A321 (32B)
37,DL757,Delta Airlines,SFO,JFK,1578336060000,1578367140000,Boeing 757-200 (winglets) Passenger
38,DL592,Delta Airlines,SFO,JFK,1578341820000,1578372360000,Boeing 757-200 (winglets) Passenger
39,DL430,Delta Airlines,SFO,JFK,1578352500000,1578382320000,Boeing 757-200 (winglets) Passenger
40,DL868,Delta Airlines,SFO,JFK,1578316500000,1578346920000,Boeing 757-200 (winglets) Passenger
41,DL1859,Delta Airlines,SFO,JFK,1578324600000,1578354720000,Boeing 757-200 (winglets) Passenger
42,DL426,Delta Airlines,SFO,JFK,1578374400000,1578404340000,Boeing 757-200 (winglets) Passenger
43,AA166,American Airlines,SFO,JFK,1578350280000,1578381060000,Airbus A321 (32B)
44,DL5115,Delta Airlines,IAD,JFK,1578315600000,1578321000000,Bombardier CRJ-200 (CR2)
45,DL4859,Delta Airlines,IAD,JFK,1578331980000,1578336240000,Bombardier CRJ-900 (CR9)
46,DL4867,Delta Airlines,IAD,JFK,1578350520000,1578355140000,Bombardier CRJ-200 (CR2)
47,AA899,American Airlines,LAX,PHX,1578354240000,1578363060000,Airbus A321 (321)
48,AA53,American Airlines,LAX,PHX,1578364920000,1578373560000,Airbus A321 (321)
49,AA1662,American Airlines,LAX,PHX,1578320520000,1578329700000,Airbus A321 (321)
50,AA1702,American Airlines,LAX,PHX,1578330300000,1578339120000,Airbus A321 (321)
51,AA2027,American Airlines,LAX,PHX,1578315600000,1578324480000,Airbus A321 (321)
52,AA3258,American Airlines,LAX,PHX,1578359100000,1578368100000,Bombardier CRJ-700 (CR7)
53,UA5411,United Airlines,LAX,PHX,1578323700000,1578332880000,Embraer 175 (Enhanced Winglets)
54,DL5759,Delta Airlines,LAX,PHX,1578324900000,1578334320000,Embraer ERJ-175 (E75)
55,DL5766,Delta Airlines,LAX,PHX,1578333600000,1578342960000,Embraer ERJ-175 (E75)
